Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;02.016.440/0001-62;853.867,233;691.748,563;613.481,247;475.690,733;496.651,280;510.331,369;491.015,769;475.952,318;423.235,674;447.640,702;516.099,557;716.061,192
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;02.302.100/0001-06;807.876,047;742.811,309;851.011,906;754.893,615;754.623,281;721.479,925;741.706,417;751.295,688;726.751,593;772.342,836;737.597,317;774.720,981
8;ENERGISA MR;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;19.527.639/0001-58;116.914,585;103.970,924;121.300,275;109.248,231;105.323,316;104.466,506;109.359,452;108.976,226;104.890,889;110.010,049;101.185,863;134.345,991
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12.272.084/0001-00;413.244,031;389.913,620;401.517,793;376.923,566;361.571,494;311.378,067;307.827,741;311.029,223;314.644,667;367.685,979;364.457,135;384.010,638
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;08.826.596/0001-95;52.251,088;50.046,792;54.950,959;51.863,749;52.441,787;46.896,642;46.701,071;47.273,387;47.821,937;51.456,178;52.332,658;53.908,663
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;01.543.032/0001-04;1.030.238,419;962.113,756;1.146.338,825;1.168.607,801;1.142.159,431;1.086.876,756;1.104.750,884;1.154.263,191;1.184.808,643;1.209.088,760;1.066.223,278;1.047.037,709
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;898.604,194;849.132,358;923.796,559;899.144,542;952.611,552;933.888,307;981.882,565;1.037.572,522;1.024.583,422;1.054.127,026;975.282,929;961.947,959
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10.835.932/0001-08;1.208.440,874;1.154.089,009;1.246.705,793;1.189.023,235;1.161.422,002;1.000.771,773;1.010.417,379;1.025.044,718;1.048.775,576;1.163.956,555;1.140.687,410;1.193.926,944
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;25.086.034/0001-71;187.400,193;188.419,698;209.414,103;214.207,532;221.170,828;211.845,715;212.681,023;240.505,830;243.337,693;253.356,751;203.204,412;197.125,457
19;CEMAR;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;06.272.793/0001-84;622.458,700;595.025,147;630.558,502;627.988,929;675.192,944;650.089,431;674.560,327;706.963,219;712.514,579;754.181,046;682.448,559;700.545,305
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;03.467.321/0001-99;698.211,597;685.762,786;740.083,643;729.963,043;672.644,357;693.585,324;793.656,694;793.993,403;865.417,880;815.845,421;709.242,970;699.505,475
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;06.840.748/0001-89;337.054,004;325.694,837;342.486,954;337.578,904;367.713,136;342.908,209;361.631,620;381.315,688;401.785,278;430.002,530;372.011,948;374.306,128
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;33.050.071/0001-58;1.154.677,975;1.010.675,373;1.218.022,264;1.006.714,219;898.864,554;800.075,945;863.840,719;849.219,268;812.852,159;965.086,749;901.497,964;996.400,850
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;15.139.629/0001-94;1.725.891,644;1.642.211,533;1.820.264,219;1.761.454,655;1.774.897,091;1.603.657,636;1.617.324,244;1.644.182,584;1.626.443,815;1.829.867,321;1.577.492,516;1.643.006,878
31;COELCE;COMPANHIA ENERGETICA DO CEARA;07.047.251/0001-70;1.038.225,054;1.002.385,261;1.039.329,939;979.027,758;1.027.155,910;954.405,839;989.717,632;1.037.572,288;1.057.106,995;1.132.205,300;1.085.420,379;1.117.368,976
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;08.324.196/0001-81;447.783,167;421.693,692;444.439,867;416.143,457;417.280,351;371.994,798;377.279,341;391.373,720;409.583,117;444.007,930;441.317,732;453.817,866
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;33.050.196/0001-88;2.056.933,124;1.941.496,260;2.267.139,882;1.963.487,645;1.809.988,847;1.720.321,690;1.855.011,862;1.876.826,951;1.820.273,397;1.992.674,037;1.909.928,754;1.963.825,036
39;CVRD;VALE S.A.;33.592.510/0001-54;327.539,378;247.884,942;281.494,398;357.470,417;371.550,524;357.451,399;363.809,776;371.215,693;380.925,343;320.835,214;358.483,561;373.550,221
46;ELEKTRO;ELEKTRO REDES S.A.;02.328.280/0001-97;1.137.914,281;1.050.490,489;1.179.780,649;1.030.406,699;971.967,707;916.622,104;993.012,063;975.739,951;942.634,871;1.006.514,630;993.501,381;1.072.559,708
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A;00.357.038/0001-16;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;61.695.227/0001-93;2.959.636,748;2.792.213,055;3.218.526,695;2.871.897,722;2.907.143,102;2.780.862,140;2.841.601,593;2.891.850,217;2.791.698,121;2.950.456,375;2.813.805,202;2.930.951,085
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;13.017.462/0001-63;250.389,456;238.753,622;253.166,981;240.892,112;234.150,692;200.451,477;198.940,312;200.778,945;204.533,901;232.572,183;231.215,704;238.004,269
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;15.413.826/0001-50;505.313,159;473.068,557;498.302,672;424.180,175;354.517,951;334.903,785;389.748,012;374.379,568;367.196,748;398.064,963;384.181,423;468.687,236
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;28.152.650/0001-71;700.542,220;619.561,147;736.257,292;681.043,330;630.885,786;563.195,739;569.920,714;603.332,049;584.247,007;630.261,489;556.732,141;590.581,699
56;FURNAS;FURNAS - CENTRAIS ELETRICAS S.A.;23.274.194/0001-19;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;53.859.112/0001-69;24.164,847;23.068,580;26.583,609;23.385,215;23.199,730;20.407,157;21.923,706;23.413,231;21.245,219;22.573,999;21.536,248;21.565,948
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;60.444.437/0001-46;2.586.616,402;2.279.562,637;2.879.379,456;2.197.301,852;1.889.228,485;1.603.185,800;1.803.204,199;1.729.217,923;1.634.662,956;2.046.550,485;1.925.814,201;2.248.094,362
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;09.095.183/0001-40;397.221,538;380.263,360;404.611,067;385.787,900;384.702,673;334.358,388;342.992,439;351.699,064;369.172,244;415.999,128;401.448,418;421.652,786
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;61.409.892/0001-73;415.742,080;352.156,099;401.213,194;387.335,511;446.292,958;426.337,980;459.620,786;451.827,969;436.141,008;445.591,433;380.365,188;368.124,370
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;04.368.898/0001-06;2.027.845,270;1.881.598,739;1.991.023,446;1.682.929,191;1.698.144,775;1.640.826,120;1.673.083,544;1.681.953,685;1.661.964,729;1.705.485,673;1.616.272,005;1.870.787,716
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;04.172.213/0001-51;812.467,919;756.378,731;866.916,835;732.638,940;706.593,934;660.596,290;692.401,957;692.829,630;663.242,720;725.259,394;699.940,492;766.751,220
103;DMED;DME DISTRIBUICAO S.A. - DMED;23.664.303/0001-04;25.347,543;23.203,794;25.950,478;24.292,846;25.444,290;24.521,781;25.252,221;25.722,489;24.694,020;25.002,241;23.638,399;24.644,206
146;DCELT;DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA S/A;83.855.973/0001-30;20.139,315;18.061,802;19.139,795;16.538,341;17.616,263;16.756,361;16.543,302;16.477,832;16.318,644;15.190,086;14.943,030;17.583,434
