Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;02.016.440/0001-62;821.815,202;704.297,029;702.206,318;572.163,089;536.664,919;540.144,580;543.826,248;529.263,664;487.771,529;511.524,967;615.541,678;765.031,311
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;02.302.100/0001-06;845.311,931;752.081,967;837.251,991;738.145,826;754.898,909;728.188,354;742.531,422;752.857,298;752.481,177;752.432,563;747.593,763;774.035,158
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;19.527.639/0001-58;128.256,724;112.224,377;125.633,203;108.340,294;112.963,971;108.389,952;107.885,492;110.212,690;116.102,799;112.618,774;109.128,966;114.664,641
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12.272.084/0001-00;410.746,216;382.803,081;419.527,760;372.592,002;358.964,024;323.450,680;329.911,535;319.063,377;344.272,333;391.502,604;404.866,779;413.345,132
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;08.826.596/0001-95;53.019,613;49.829,286;54.134,428;51.811,249;50.966,923;48.330,744;48.832,397;47.588,396;49.610,953;52.604,313;53.624,148;54.365,480
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;01.543.032/0001-04;1.092.883,196;972.592,048;1.073.988,155;1.090.468,311;1.127.772,831;1.063.465,492;1.052.499,671;1.145.069,637;1.249.402,795;1.167.434,915;1.026.783,034;1.051.473,795
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;927.441,113;822.198,798;883.837,263;903.428,564;960.364,592;936.674,359;960.901,493;1.019.005,729;970.549,967;1.018.321,235;966.155,952;982.117,291
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10.835.932/0001-08;1.258.278,651;1.162.596,672;1.262.964,411;1.172.002,788;1.138.952,937;1.045.346,010;1.064.167,477;1.040.676,139;1.122.638,862;1.222.190,853;1.238.605,008;1.251.644,536
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;25.086.034/0001-71;203.423,401;178.077,260;208.271,547;209.018,402;217.766,858;213.926,391;210.483,378;227.263,240;230.535,994;214.886,999;189.733,718;193.328,475
19;CEMAR;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;06.272.793/0001-84;648.401,754;577.351,494;617.920,296;612.642,344;674.033,748;648.953,111;668.412,394;696.900,651;690.027,346;701.703,993;671.773,438;695.598,636
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;03.467.321/0001-99;641.361,978;644.552,891;676.438,727;645.388,218;643.079,910;665.864,164;667.678,707;785.142,721;859.052,048;829.274,696;695.278,585;692.780,528
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;06.840.748/0001-89;382.745,441;331.053,595;355.731,770;363.577,768;382.812,139;379.830,498;385.223,197;405.480,207;423.526,275;428.278,489;384.238,884;393.142,854
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;33.050.071/0001-58;1.222.269,017;1.010.784,062;1.208.317,256;964.441,233;928.148,649;852.688,521;833.411,574;880.078,043;931.401,771;911.653,367;913.486,360;1.037.594,372
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;15.139.629/0001-94;1.884.570,327;1.632.628,954;1.871.472,402;1.720.608,412;1.728.331,964;1.634.243,872;1.640.269,101;1.629.913,669;1.720.287,768;1.817.628,096;1.633.687,008;1.649.350,584
31;COELCE;COMPANHIA ENERGETICA DO CEARA;07.047.251/0001-70;1.108.164,386;992.642,173;1.010.306,493;1.014.092,242;1.023.319,465;1.039.278,810;1.056.388,077;1.097.836,519;1.092.466,359;1.155.570,051;1.139.493,220;1.167.771,031
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;08.324.196/0001-81;483.476,080;438.791,451;455.610,805;434.496,535;427.558,249;423.279,039;426.742,741;429.251,624;440.761,908;474.706,708;473.894,825;490.568,743
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;33.050.196/0001-88;2.206.899,177;2.018.425,238;2.216.568,508;1.959.379,079;1.905.613,308;1.797.862,671;1.831.873,497;1.973.372,316;2.143.842,736;1.978.577,707;2.053.833,882;2.078.948,783
